component_name,category,input_bandwidth,power_consumption,supply_voltage,stock_quantity,price
Component_62,Capacitor,85.32 MHz,5.55 W,6.70 V,19,45.87
Component_63,Transistor,41.92 MHz,7.82 W,8.69 V,408,43.3
Component_64,Inductor,86.00 MHz,0.53 W,11.17 V,132,12.98
Component_65,Transistor,10.35 MHz,0.95 W,4.34 V,55,4.63
Component_66,Resistor,16.33 MHz,0.50 W,1.74 V,308,17.49
Component_67,Capacitor,82.93 MHz,2.59 W,10.48 V,338,12.63
Component_68,Inductor,31.80 MHz,2.93 W,2.81 V,211,16.24
Component_69,Inductor,31.53 MHz,5.81 W,7.14 V,183,46.87
Component_70,Capacitor,34.88 MHz,5.92 W,6.05 V,223,27.46
Component_71,Resistor,90.43 MHz,4.84 W,7.43 V,150,26.12
Component_72,Capacitor,34.61 MHz,6.19 W,3.84 V,366,17.17
Component_73,Capacitor,46.25 MHz,4.15 W,6.29 V,252,12.94
Component_74,Capacitor,32.43 MHz,9.45 W,3.42 V,259,2.14
Component_75,Diode,62.42 MHz,1.42 W,11.58 V,240,16.18
Component_76,Transistor,3.01 MHz,3.63 W,6.41 V,189,15.8
Component_77,Diode,90.52 MHz,9.08 W,7.97 V,422,38.85
Component_78,Diode,80.22 MHz,0.39 W,2.92 V,460,10.33
Component_79,Capacitor,48.69 MHz,4.23 W,8.97 V,133,38.24
Component_80,Inductor,51.91 MHz,2.67 W,4.37 V,479,44.35
Component_81,Transistor,23.32 MHz,6.49 W,10.99 V,40,21.17
Component_82,Diode,90.02 MHz,3.24 W,8.53 V,184,43.09
Component_83,Resistor,84.91 MHz,7.18 W,6.18 V,160,32.32
Component_84,Diode,60.67 MHz,0.48 W,6.75 V,231,27.33
Component_85,Inductor,58.94 MHz,6.55 W,2.43 V,104,2.42
Component_86,Inductor,46.26 MHz,0.91 W,3.66 V,170,4.07
Component_87,Resistor,25.42 MHz,8.30 W,4.76 V,45,16.87
Component_88,Inductor,94.69 MHz,8.66 W,6.38 V,418,16.65
Component_89,Inductor,84.48 MHz,4.76 W,1.59 V,314,25.77
Component_90,Inductor,75.62 MHz,5.20 W,10.40 V,31,37.66
Component_91,Inductor,94.01 MHz,1.94 W,11.44 V,380,41.79
Component_92,Capacitor,20.09 MHz,2.77 W,5.45 V,285,31.67
Component_93,Diode,75.51 MHz,9.59 W,1.89 V,162,20.61
Component_94,Transistor,84.14 MHz,6.36 W,4.41 V,373,16.45
Component_95,Inductor,83.02 MHz,2.72 W,8.83 V,360,41.19
Component_96,Resistor,22.16 MHz,2.06 W,10.48 V,400,35.4
Component_97,Inductor,99.71 MHz,6.69 W,8.73 V,144,23.14
Component_98,Resistor,80.58 MHz,4.45 W,9.19 V,322,32.36
Component_99,Capacitor,32.79 MHz,4.66 W,1.68 V,217,10.24
Component_100,Diode,10.64 MHz,4.46 W,1.52 V,423,28.84
Component_101,Capacitor,6.15 MHz,9.60 W,9.02 V,428,8.97
Component_102,Inductor,85.45 MHz,5.40 W,7.65 V,136,18.31
Component_103,Diode,92.26 MHz,3.53 W,6.42 V,200,3.43
Component_104,Capacitor,95.08 MHz,2.68 W,1.78 V,257,29.42
Component_105,Resistor,51.39 MHz,3.63 W,8.45 V,52,35.96
Component_106,Transistor,93.79 MHz,2.01 W,11.56 V,341,41.14
Component_107,Resistor,51.60 MHz,7.31 W,5.54 V,210,35.37
Component_108,Diode,71.14 MHz,4.29 W,4.99 V,457,15.41
Component_109,Resistor,29.49 MHz,5.46 W,6.70 V,90,8.8
Component_110,Diode,10.43 MHz,3.56 W,8.77 V,467,30.28
Component_111,Transistor,17.03 MHz,1.40 W,9.15 V,291,27.18
Component_112,Inductor,48.68 MHz,8.93 W,2.48 V,292,3.94
Component_113,Diode,89.80 MHz,0.73 W,2.30 V,108,46.19
Component_114,Resistor,94.92 MHz,1.96 W,10.52 V,378,11.5
Component_115,Diode,38.56 MHz,4.78 W,4.46 V,207,18.69
Component_116,Capacitor,10.33 MHz,1.03 W,9.18 V,494,19.46
Component_117,Transistor,83.83 MHz,4.99 W,2.57 V,335,29.65
Component_118,Transistor,22.97 MHz,3.34 W,6.50 V,89,19.66
Component_119,Transistor,15.39 MHz,7.04 W,8.40 V,192,13.51
Component_120,Diode,14.10 MHz,6.03 W,10.37 V,67,48.58
Component_121,Inductor,10.98 MHz,1.20 W,5.48 V,353,10.36
Component_122,Diode,83.33 MHz,4.90 W,9.09 V,160,39.09
Component_123,Diode,14.61 MHz,1.80 W,1.23 V,220,9.25
Component_124,Resistor,30.97 MHz,5.88 W,4.95 V,32,39.58
Component_125,Capacitor,19.84 MHz,6.60 W,9.89 V,26,36.58
Component_126,Inductor,93.59 MHz,6.98 W,2.47 V,278,30.6
Component_127,Transistor,22.90 MHz,9.99 W,2.73 V,457,6.56
Component_128,Resistor,85.27 MHz,8.96 W,11.74 V,98,35.35
Component_129,Resistor,85.72 MHz,2.94 W,3.99 V,77,17.01
Component_130,Inductor,80.04 MHz,8.24 W,3.91 V,144,39.31
Component_131,Resistor,53.05 MHz,5.51 W,8.72 V,73,33.46
Component_132,Resistor,89.01 MHz,2.84 W,8.84 V,392,3.89
Component_133,Inductor,86.49 MHz,6.85 W,10.73 V,346,16.1
Component_134,Resistor,25.63 MHz,5.33 W,6.39 V,454,11.55
Component_135,Resistor,24.84 MHz,0.40 W,2.11 V,247,45.86
Component_136,Resistor,17.10 MHz,1.46 W,6.90 V,211,42.72
Component_137,Inductor,9.80 MHz,1.27 W,6.28 V,312,37.05
Component_138,Capacitor,68.98 MHz,8.78 W,11.17 V,101,35.95
Component_139,Inductor,13.30 MHz,2.50 W,7.82 V,231,17.21
Component_140,Diode,28.15 MHz,8.20 W,8.71 V,313,25.18
Component_141,Capacitor,73.31 MHz,2.42 W,4.23 V,139,12.22
Component_142,Capacitor,66.93 MHz,5.11 W,11.37 V,380,41.62
Component_143,Inductor,91.84 MHz,0.93 W,1.24 V,366,30.15
Component_144,Resistor,56.48 MHz,0.37 W,1.83 V,19,26.13
Component_145,Diode,88.12 MHz,6.38 W,8.45 V,458,41.84
Component_146,Transistor,1.71 MHz,4.14 W,7.62 V,153,36.24
Component_147,Transistor,82.49 MHz,7.49 W,2.74 V,99,28.58
Component_148,Capacitor,56.14 MHz,7.99 W,5.43 V,232,7.34
Component_149,Inductor,22.22 MHz,8.69 W,4.06 V,114,33.34
Component_150,Resistor,80.10 MHz,3.91 W,6.51 V,25,34.63
Component_151,Capacitor,76.38 MHz,9.97 W,11.61 V,148,36.18
Component_152,Inductor,94.25 MHz,6.99 W,7.78 V,164,3.64
Component_153,Transistor,56.01 MHz,1.54 W,11.27 V,310,36.94
Component_154,Capacitor,5.32 MHz,6.86 W,11.96 V,339,5.51
Component_155,Diode,74.28 MHz,2.82 W,3.82 V,332,14.19
Component_156,Inductor,74.37 MHz,1.08 W,1.59 V,37,49.28
Component_157,Inductor,70.02 MHz,8.31 W,2.24 V,248,31.14
Component_158,Diode,4.93 MHz,4.81 W,11.90 V,94,48.62
Component_159,Transistor,47.07 MHz,2.46 W,7.46 V,341,47.3
Component_160,Resistor,31.41 MHz,4.92 W,8.79 V,251,39.75
Component_161,Capacitor,90.87 MHz,3.86 W,6.30 V,379,44.9
Component_162,Inductor,98.95 MHz,0.84 W,3.80 V,158,29.97
Component_163,Inductor,66.63 MHz,5.40 W,1.48 V,358,32.65
Component_164,Transistor,76.30 MHz,5.95 W,10.20 V,151,16.46
Component_165,Capacitor,43.33 MHz,1.44 W,10.12 V,417,49.32
Component_166,Transistor,35.06 MHz,2.77 W,5.06 V,433,13.02
Component_167,Diode,42.49 MHz,1.48 W,10.71 V,495,21.32
Component_168,Transistor,17.34 MHz,4.24 W,3.99 V,72,2.12
Component_169,Transistor,47.39 MHz,6.93 W,8.04 V,259,41.46
Component_170,Capacitor,42.45 MHz,6.94 W,7.26 V,242,47.49
Component_171,Inductor,18.38 MHz,3.87 W,10.45 V,58,23.68
Component_172,Transistor,18.92 MHz,1.97 W,5.77 V,472,9.29
Component_173,Diode,5.95 MHz,4.13 W,3.53 V,351,46.65
Component_174,Capacitor,17.46 MHz,1.54 W,9.37 V,231,11.51
Component_175,Inductor,73.24 MHz,3.35 W,7.56 V,159,27.71
Component_176,Transistor,92.16 MHz,0.37 W,9.11 V,181,28.02
Component_177,Inductor,31.16 MHz,7.39 W,7.05 V,429,48.32
Component_178,Transistor,5.82 MHz,4.75 W,4.04 V,489,22.12
Component_179,Diode,85.20 MHz,2.29 W,4.15 V,240,35.83
Component_180,Resistor,44.89 MHz,9.77 W,5.00 V,380,44.27
Component_181,Transistor,2.88 MHz,8.78 W,2.48 V,244,11.52
Component_182,Diode,69.14 MHz,3.93 W,6.40 V,123,49.9
Component_183,Diode,15.60 MHz,0.53 W,9.07 V,219,27.77
Component_184,Diode,71.82 MHz,2.69 W,5.64 V,21,46.85
Component_185,Inductor,52.33 MHz,9.01 W,2.18 V,302,34.66
Component_186,Resistor,41.31 MHz,6.49 W,10.26 V,101,0.68
Component_187,Capacitor,98.99 MHz,0.61 W,8.28 V,130,17.94
Component_188,Capacitor,42.10 MHz,6.51 W,1.21 V,183,34.62
Component_189,Diode,54.58 MHz,2.65 W,10.86 V,191,4.62
Component_190,Transistor,76.58 MHz,4.73 W,1.87 V,264,1.64
Component_191,Resistor,66.04 MHz,2.50 W,11.38 V,157,25.33
Component_192,Resistor,54.48 MHz,5.51 W,7.37 V,194,33.07
Component_193,Inductor,14.17 MHz,7.58 W,4.40 V,357,39.32
Component_194,Transistor,24.62 MHz,2.26 W,11.80 V,326,2.89
Component_195,Diode,52.69 MHz,3.54 W,3.31 V,487,38
Component_196,Capacitor,52.79 MHz,4.78 W,1.42 V,296,44.12
Component_197,Resistor,49.67 MHz,1.66 W,10.38 V,405,16.12
Component_198,Capacitor,30.23 MHz,6.26 W,5.95 V,366,26.32
Component_199,Diode,66.91 MHz,0.98 W,2.81 V,157,0.77
Component_200,Transistor,71.73 MHz,6.00 W,8.71 V,361,25.86
Component_201,Inductor,41.35 MHz,7.80 W,6.15 V,51,15.57
Component_202,Transistor,77.02 MHz,0.55 W,6.19 V,137,2.68
Component_203,Resistor,50.98 MHz,2.65 W,5.80 V,71,5.94
Component_204,Diode,21.48 MHz,2.44 W,6.39 V,340,30.42
Component_205,Transistor,20.00 MHz,2.33 W,10.47 V,214,40.99
Component_206,Diode,3.88 MHz,7.74 W,6.46 V,374,38.94
Component_207,Inductor,34.62 MHz,8.56 W,1.94 V,293,22
Component_208,Resistor,34.40 MHz,6.11 W,3.68 V,328,37.55
Component_209,Transistor,37.35 MHz,1.57 W,5.07 V,23,22.11
Component_210,Capacitor,7.04 MHz,8.42 W,5.88 V,215,41.42
Component_211,Resistor,65.98 MHz,2.15 W,3.71 V,420,30.31
Component_212,Inductor,73.43 MHz,3.56 W,4.79 V,208,16.76
Component_213,Transistor,87.31 MHz,2.78 W,11.31 V,497,2.79
Component_214,Inductor,5.93 MHz,4.81 W,10.57 V,29,36.82
Component_215,Inductor,91.86 MHz,7.35 W,2.79 V,55,48.12
Component_216,Inductor,56.46 MHz,7.09 W,10.45 V,187,17.32
Component_217,Diode,86.11 MHz,1.30 W,10.89 V,307,29.56
Component_218,Transistor,36.95 MHz,8.06 W,2.26 V,220,46.97
Component_219,Resistor,76.86 MHz,7.98 W,9.24 V,416,23.5
Component_220,Inductor,1.09 MHz,4.10 W,6.75 V,176,31.91
Component_221,Inductor,31.33 MHz,8.28 W,9.23 V,440,21.27
Component_222,Inductor,55.25 MHz,5.15 W,2.13 V,323,1.94
Component_223,Capacitor,75.62 MHz,6.07 W,6.71 V,223,5.92
Component_224,Diode,61.74 MHz,8.54 W,2.49 V,477,49.53
Component_225,Transistor,77.49 MHz,6.32 W,7.47 V,280,33.66
Component_226,Diode,16.26 MHz,6.01 W,11.52 V,406,35.52
Component_227,Capacitor,69.30 MHz,5.83 W,2.86 V,76,3
Component_228,Diode,62.28 MHz,7.39 W,5.66 V,482,13.81
Component_229,Inductor,49.16 MHz,5.08 W,6.14 V,276,49.41
Component_230,Resistor,47.54 MHz,1.19 W,8.34 V,484,29.62
Component_231,Transistor,28.61 MHz,5.22 W,9.35 V,426,1.12
Component_232,Diode,39.01 MHz,8.13 W,3.13 V,192,17.2
Component_233,Diode,45.01 MHz,0.60 W,4.22 V,263,33.79
Component_234,Resistor,71.62 MHz,1.24 W,9.60 V,316,17.75
Component_235,Inductor,50.76 MHz,6.85 W,1.05 V,31,41
Component_236,Resistor,62.01 MHz,4.92 W,9.01 V,355,31.54
Component_237,Capacitor,86.67 MHz,7.85 W,7.03 V,87,21.33
Component_238,Inductor,76.65 MHz,5.33 W,2.50 V,423,30.05
Component_239,Resistor,84.94 MHz,3.52 W,3.06 V,42,46.83
Component_240,Inductor,18.25 MHz,0.25 W,1.07 V,164,22.13
Component_241,Diode,11.37 MHz,7.27 W,2.00 V,101,9.12
Component_242,Capacitor,82.85 MHz,8.37 W,8.85 V,310,44
Component_243,Capacitor,21.92 MHz,9.82 W,8.98 V,107,32.93
Component_244,Inductor,10.07 MHz,0.27 W,11.99 V,266,38.77
Component_245,Capacitor,24.00 MHz,2.18 W,11.34 V,308,4.34
Component_246,Transistor,76.88 MHz,9.73 W,9.94 V,446,3.43
Component_247,Diode,95.08 MHz,0.54 W,7.76 V,129,31.88
Component_248,Capacitor,35.44 MHz,5.71 W,10.06 V,111,28.18
Component_249,Resistor,15.77 MHz,4.86 W,9.13 V,451,43.33
Component_250,Inductor,95.84 MHz,3.55 W,9.07 V,363,4.3
Component_251,Diode,59.16 MHz,3.74 W,1.93 V,414,30.1
Component_252,Capacitor,68.53 MHz,5.32 W,8.01 V,492,30.22
Component_253,Resistor,68.06 MHz,2.55 W,2.13 V,488,44.93
Component_254,Diode,86.12 MHz,0.32 W,4.75 V,262,37.49
Component_255,Inductor,83.47 MHz,0.40 W,10.66 V,138,45.99
Component_256,Diode,32.90 MHz,6.92 W,4.25 V,328,15.81
Component_257,Resistor,65.13 MHz,2.94 W,5.67 V,457,1.82
Component_258,Inductor,59.76 MHz,3.21 W,7.85 V,389,16.38
Component_259,Resistor,12.24 MHz,1.49 W,11.47 V,390,12.05
Component_260,Capacitor,83.83 MHz,9.77 W,11.37 V,228,37.43
Component_261,Resistor,26.46 MHz,9.88 W,5.86 V,271,38.9
Component_262,Transistor,80.64 MHz,7.94 W,7.37 V,173,40.23
Component_263,Diode,39.12 MHz,9.08 W,6.88 V,373,8.99
Component_264,Resistor,69.69 MHz,0.47 W,8.33 V,283,40.28
Component_265,Transistor,27.95 MHz,4.91 W,4.48 V,126,9.08
Component_266,Transistor,30.66 MHz,1.14 W,3.45 V,296,19.91
Component_267,Transistor,69.15 MHz,0.74 W,9.23 V,185,33.46
Component_268,Inductor,20.62 MHz,1.72 W,3.60 V,46,27.96
Component_269,Resistor,49.58 MHz,7.89 W,1.44 V,472,6.66
Component_270,Capacitor,58.42 MHz,4.25 W,1.37 V,450,23.54
Component_271,Diode,41.63 MHz,3.01 W,6.92 V,440,21.79
Component_272,Diode,4.65 MHz,9.93 W,9.32 V,159,44.57
Component_273,Resistor,19.76 MHz,5.30 W,4.87 V,311,38.63
Component_274,Transistor,22.50 MHz,6.79 W,8.06 V,252,24.46
Component_275,Diode,12.70 MHz,4.77 W,8.17 V,429,22.54
Component_276,Resistor,28.42 MHz,7.10 W,1.15 V,181,8.6
Component_277,Capacitor,39.53 MHz,5.71 W,3.82 V,156,28.45
Component_278,Transistor,22.36 MHz,1.08 W,3.48 V,215,25.35
Component_279,Resistor,27.76 MHz,7.43 W,11.52 V,250,48.32
Component_280,Diode,94.59 MHz,0.12 W,9.17 V,500,48.9
Component_281,Inductor,94.30 MHz,1.89 W,4.72 V,151,48.39
Component_282,Resistor,9.22 MHz,3.11 W,7.50 V,12,32.58
Component_283,Resistor,90.10 MHz,9.26 W,9.42 V,318,32
Component_284,Resistor,6.46 MHz,4.86 W,4.44 V,10,25.66
Component_285,Resistor,91.05 MHz,3.55 W,8.30 V,467,35.78
Component_286,Resistor,12.56 MHz,3.69 W,11.04 V,477,22.82
Component_287,Capacitor,25.73 MHz,7.91 W,5.18 V,90,39.41
Component_288,Capacitor,30.85 MHz,4.53 W,7.19 V,48,41.84
Component_289,Transistor,20.34 MHz,5.77 W,8.95 V,223,40.82
Component_290,Transistor,5.15 MHz,8.83 W,7.08 V,368,18.82
Component_291,Capacitor,96.75 MHz,0.97 W,1.05 V,352,28.6
Component_292,Inductor,77.07 MHz,3.19 W,8.95 V,60,1.77
Component_293,Transistor,2.12 MHz,3.45 W,10.96 V,102,36.73
Component_294,Diode,4.27 MHz,1.67 W,1.77 V,437,29.9
Component_295,Capacitor,97.15 MHz,9.86 W,2.82 V,373,8.82
Component_296,Capacitor,86.28 MHz,5.94 W,1.61 V,241,9.16
Component_297,Transistor,29.68 MHz,3.26 W,7.74 V,223,13.23
Component_298,Transistor,83.01 MHz,5.64 W,1.93 V,391,33.84
Component_299,Inductor,95.34 MHz,9.48 W,7.59 V,271,2.4
Component_300,Inductor,13.58 MHz,0.59 W,10.85 V,136,6.97
Component_301,Transistor,44.07 MHz,3.05 W,7.37 V,189,3.06
Component_302,Transistor,84.31 MHz,9.43 W,2.52 V,236,9.66
Component_303,Transistor,56.30 MHz,2.34 W,8.28 V,334,25.83
Component_304,Diode,13.41 MHz,3.56 W,10.46 V,129,5.38
Component_305,Resistor,82.42 MHz,4.44 W,9.23 V,242,17.26
Component_306,Transistor,68.32 MHz,3.89 W,6.45 V,202,40.37
Component_307,Inductor,33.20 MHz,5.49 W,2.38 V,454,38.5
Component_308,Capacitor,2.84 MHz,9.34 W,6.23 V,341,29.55
Component_309,Inductor,90.36 MHz,9.38 W,3.60 V,95,19.68
Component_310,Transistor,94.24 MHz,4.59 W,1.11 V,279,33.31
Component_311,Diode,57.69 MHz,2.39 W,4.27 V,268,1.13
Component_312,Transistor,40.11 MHz,2.10 W,6.55 V,260,34.42
Component_313,Capacitor,89.65 MHz,9.66 W,6.89 V,161,35.43
Component_314,Inductor,48.24 MHz,8.83 W,8.88 V,323,33.72
Component_315,Inductor,99.55 MHz,7.83 W,7.24 V,162,41.16
Component_316,Capacitor,49.59 MHz,5.94 W,2.30 V,490,12.39
Component_317,Transistor,36.84 MHz,3.67 W,2.24 V,104,21.37
Component_318,Transistor,34.39 MHz,1.63 W,7.56 V,307,9.89
Component_319,Resistor,51.88 MHz,1.36 W,5.83 V,118,30.11
Component_320,Inductor,45.58 MHz,4.05 W,2.09 V,159,23.01
Component_321,Diode,44.33 MHz,9.22 W,2.87 V,101,30.88
Component_322,Transistor,11.31 MHz,2.64 W,3.23 V,67,13.28
Component_323,Resistor,65.62 MHz,5.70 W,3.92 V,234,34.15
Component_324,Resistor,84.53 MHz,6.29 W,4.59 V,381,37.03
Component_325,Inductor,59.35 MHz,0.71 W,5.26 V,406,20.97
Component_326,Resistor,19.38 MHz,7.08 W,11.01 V,291,48.44
Component_327,Diode,36.32 MHz,6.73 W,4.68 V,234,28.9
Component_328,Transistor,76.00 MHz,4.72 W,5.36 V,389,9.9
Component_329,Inductor,42.64 MHz,9.03 W,8.81 V,191,35.9
Component_330,Capacitor,65.68 MHz,4.73 W,10.80 V,201,1.75
Component_331,Diode,46.12 MHz,6.58 W,2.39 V,387,5.57
Component_332,Transistor,95.67 MHz,4.97 W,10.88 V,264,49.04
Component_333,Capacitor,89.93 MHz,9.37 W,5.59 V,389,12.48
Component_334,Transistor,44.47 MHz,8.75 W,8.84 V,255,34.37
Component_335,Inductor,75.53 MHz,7.00 W,9.00 V,329,6.38
Component_336,Resistor,78.04 MHz,5.62 W,1.05 V,332,9.16
Component_337,Diode,15.98 MHz,3.56 W,9.53 V,401,45.56
Component_338,Diode,18.85 MHz,7.54 W,5.46 V,265,47.67
Component_339,Resistor,97.61 MHz,4.73 W,5.52 V,250,21.75
Component_340,Inductor,66.96 MHz,6.76 W,2.41 V,347,2.33
Component_341,Transistor,94.63 MHz,6.73 W,3.01 V,315,49.71
Component_342,Resistor,1.14 MHz,2.78 W,10.45 V,382,11.92
Component_343,Transistor,20.46 MHz,7.35 W,4.28 V,481,8.21
Component_344,Resistor,1.23 MHz,6.80 W,8.77 V,119,14.48
Component_345,Inductor,23.11 MHz,9.74 W,7.04 V,241,28.16
Component_346,Resistor,90.46 MHz,0.82 W,11.78 V,80,23.21
Component_347,Capacitor,90.15 MHz,3.75 W,2.31 V,321,24.54
Component_348,Resistor,82.52 MHz,3.01 W,11.76 V,96,35.59
Component_349,Inductor,26.31 MHz,0.13 W,3.70 V,159,45.45
Component_350,Resistor,12.95 MHz,0.38 W,5.83 V,324,22.81
Component_351,Transistor,58.53 MHz,9.16 W,6.18 V,71,41.75
Component_352,Transistor,44.62 MHz,3.52 W,6.08 V,239,46.13
Component_353,Inductor,64.23 MHz,4.59 W,7.11 V,108,44.66
Component_354,Capacitor,90.76 MHz,6.91 W,2.10 V,246,26.71
Component_355,Transistor,62.74 MHz,4.06 W,2.01 V,233,17.25
Component_356,Transistor,10.26 MHz,6.34 W,10.09 V,182,39.27
Component_357,Capacitor,71.34 MHz,6.20 W,11.90 V,470,41.99
Component_358,Transistor,60.22 MHz,0.88 W,10.01 V,94,3.36
Component_359,Transistor,80.47 MHz,5.42 W,1.85 V,100,18.62
Component_360,Transistor,59.97 MHz,8.48 W,5.84 V,243,33.25
Component_361,Capacitor,57.15 MHz,8.62 W,6.09 V,279,5.14
Component_362,Transistor,58.54 MHz,4.75 W,5.11 V,233,28.66
Component_363,Resistor,35.30 MHz,8.81 W,8.50 V,178,1.04
Component_364,Inductor,48.82 MHz,5.69 W,1.94 V,159,9.91
Component_365,Capacitor,61.33 MHz,1.25 W,3.25 V,458,33.44
Component_366,Resistor,32.43 MHz,4.81 W,4.18 V,55,18.67
Component_367,Capacitor,4.18 MHz,1.43 W,9.81 V,404,11.16
Component_368,Transistor,54.70 MHz,5.16 W,9.21 V,497,23.47
Component_369,Capacitor,26.12 MHz,7.15 W,1.11 V,190,27.41
Component_370,Capacitor,9.81 MHz,3.82 W,11.53 V,30,43.19
Component_371,Capacitor,40.42 MHz,1.22 W,10.47 V,310,7.88
Component_372,Transistor,49.14 MHz,5.11 W,8.57 V,447,0.9
Component_373,Inductor,23.35 MHz,3.84 W,5.64 V,222,24.71
Component_374,Capacitor,88.68 MHz,2.63 W,2.68 V,472,46.14
Component_375,Inductor,89.95 MHz,0.95 W,8.90 V,416,10.96
Component_376,Capacitor,98.92 MHz,4.40 W,1.68 V,135,49.47
Component_377,Resistor,48.62 MHz,0.84 W,2.30 V,74,43.77
Component_378,Resistor,49.77 MHz,4.14 W,6.41 V,428,37.8
Component_379,Inductor,33.37 MHz,3.68 W,4.44 V,294,15.08
Component_380,Diode,83.95 MHz,9.52 W,7.85 V,28,17.01
Component_381,Inductor,59.17 MHz,1.52 W,2.71 V,91,44.74
Component_382,Transistor,95.71 MHz,3.34 W,10.82 V,396,22.29
Component_383,Resistor,58.45 MHz,5.25 W,11.10 V,333,49.55
Component_384,Resistor,71.00 MHz,7.68 W,5.90 V,278,31.82
Component_385,Inductor,72.96 MHz,3.42 W,8.86 V,452,24.62
Component_386,Inductor,65.72 MHz,1.42 W,10.97 V,180,19.7
Component_387,Resistor,64.89 MHz,5.68 W,3.41 V,83,11.9
